ID,CNAE,DESCRICAO
229,11.21-6/00,FABRICAÇÃO DE ÁGUAS ENVASADAS
230,11.22-4/01,FABRICAÇÃO DE REFRIGERANTES
231,11.22-4/02,FABRICAÇÃO DE CHÁ MATE E OUTROS CHÁS PRONTOS PARA CONSUMO
232,11.22-4/03,"FABRICAÇÃO DE REFRESCOS, XAROPES E PÓS PARA REFRESCOS, EXCETO REFRESCOS DE FRUTAS"
233,11.22-4/04,FABRICAÇÃO DE BEBIDAS ISOTÔNICAS
234,11.22-4/99,FABRICAÇÃO DE OUTRAS BEBIDAS NÃO ALCOÓLICAS NÃO ESPECIFICADAS ANTERIORMENTE
235,12.10-7/00,PROCESSAMENTO INDUSTRIAL DO FUMO
236,12.20-4/01,FABRICAÇÃO DE CIGARROS
237,12.20-4/02,FABRICAÇÃO DE CIGARRILHAS E CHARUTOS
238,12.20-4/03,FABRICAÇÃO DE FILTROS PARA CIGARROS
239,12.20-4/99,"FABRICAÇÃO DE OUTROS PRODUTOS DO FUMO, EXCETO CIGARROS, CIGARRILHAS E CHARUTOS"
240,13.11-1/00,PREPARAÇÃO E FIAÇÃO DE FIBRAS DE ALGODÃO
241,13.12-0/00,"PREPARAÇÃO E FIAÇÃO DE FIBRAS TÊXTEIS NATURAIS, EXCETO ALGODÃO"
242,13.13-8/00,FIAÇÃO DE FIBRAS ARTIFICIAIS E SINTÉTICAS
243,13.14-6/00,FABRICAÇÃO DE LINHAS PARA COSTURAR E BORDAR
244,13.21-9/00,TECELAGEM DE FIOS DE ALGODÃO
245,13.22-7/00,"TECELAGEM DE FIOS DE FIBRAS TÊXTEIS NATURAIS, EXCETO ALGODÃO"
246,13.23-5/00,TECELAGEM DE FIOS DE FIBRAS ARTIFICIAIS E SINTÉTICAS
247,13.30-8/00,FABRICAÇÃO DE TECIDOS DE MALHA
248,13.40-5/01,"ESTAMPARIA E TEXTURIZAÇÃO EM FIOS, TECIDOS, ARTEFATOS TÊXTEIS E PEÇAS DO VESTUÁRIO"
249,13.40-5/02,"ALVEJAMENTO, TINGIMENTO E TORÇÃO EM FIOS, TECIDOS, ARTEFATOS TÊXTEIS E PEÇAS DO VESTUÁRIO"
250,13.40-5/99,"OUTROS SERVIÇOS DE ACABAMENTO EM FIOS, TECIDOS, ARTEFATOS TÊXTEIS E PEÇAS DO VESTUÁRIO"
251,13.51-1/00,FABRICAÇÃO DE ARTEFATOS TÊXTEIS PARA USO DOMÉSTICO
252,13.52-9/00,FABRICAÇÃO DE ARTEFATOS DE TAPEÇARIA
253,13.53-7/00,FABRICAÇÃO DE ARTEFATOS DE CORDOARIA
254,13.54-5/00,"FABRICAÇÃO DE TECIDOS ESPECIAIS, INCLUSIVE ARTEFATOS"
255,13.59-6/00,FABRICAÇÃO DE OUTROS PRODUTOS TÊXTEIS NÃO ESPECIFICADOS ANTERIORMENTE
256,14.11-8/01,CONFECÇÃO DE ROUPAS ÍNTIMAS
257,14.11-8/02,FACÇÃO DE ROUPAS ÍNTIMAS
258,14.12-6/01,"CONFECÇÃO DE PEÇAS DE VESTUÁRIO, EXCETO ROUPAS ÍNTIMAS E AS CONFECCIONADAS SOB MEDIDA"
259,14.12-6/02,"CONFECÇÃO, SOB MEDIDA, DE PEÇAS DO VESTUÁRIO, EXCETO ROUPAS ÍNTIMAS"
260,14.12-6/03,"FACÇÃO DE PEÇAS DO VESTUÁRIO, EXCETO ROUPAS ÍNTIMAS"
261,14.13-4/01,"CONFECÇÃO DE ROUPAS PROFISSIONAIS, EXCETO SOB MEDIDA"
262,14.13-4/02,"CONFECÇÃO, SOB MEDIDA, DE ROUPAS PROFISSIONAIS"
263,14.13-4/03,FACÇÃO DE ROUPAS PROFISSIONAIS
264,14.14-2/00,"FABRICAÇÃO DE ACESSÓRIOS DO VESTUÁRIO, EXCETO PARA SEGURANÇA E PROTEÇÃO"
265,14.21-5/00,FABRICAÇÃO DE MEIAS
266,14.22-3/00,"FABRICAÇÃO DE ARTIGOS DO VESTUÁRIO, PRODUZIDOS EM MALHARIAS E TRICOTAGENS, EXCETO MEIAS"
267,15.10-6/00,CURTIMENTO E OUTRAS PREPARAÇÕES DE COURO
268,15.21-1/00,"FABRICAÇÃO DE ARTIGOS PARA VIAGEM, BOLSAS E SEMELHANTES DE QUALQUER MATERIAL"
269,15.29-7/00,FABRICAÇÃO DE ARTEFATOS DE COURO NÃO ESPECIFICADOS ANTERIORMENTE
270,15.31-9/01,FABRICAÇÃO DE CALÇADOS DE COURO
271,15.31-9/02,ACABAMENTO DE CALÇADOS DE COURO SOB CONTRATO
272,15.32-7/00,FABRICAÇÃO DE TÊNIS DE QUALQUER MATERIAL
273,15.33-5/00,FABRICAÇÃO DE CALÇADOS DE MATERIAL SINTÉTICO
274,15.39-4/00,FABRICAÇÃO DE CALÇADOS DE MATERIAIS NÃO ESPECIFICADOS ANTERIORMENTE
275,15.40-8/00,"FABRICAÇÃO DE PARTES PARA CALÇADOS, DE QUALQUER MATERIAL"
276,16.10-2/03,SERRARIAS COM DESDOBRAMENTO DE MADEIRA EM BRUTO
277,16.10-2/04,SERRARIAS SEM DESDOBRAMENTO DE MADEIRA EM BRUTO - RESSERRAGEM
278,16.10-2/05,SERVIÇO DE TRATAMENTO DE MADEIRA REALIZADO SOB CONTRATO
279,16.21-8/00,"FABRICAÇÃO DE MADEIRA LAMINADA E DE CHAPAS DE MADEIRA COMPENSADA, PRENSADA E AGLOMERADA"
280,16.22-6/01,FABRICAÇÃO DE CASAS DE MADEIRA PRÉ FABRICADAS
281,16.22-6/02,FABRICAÇÃO DE ESQUADRIAS DE MADEIRA E DE PEÇAS DE MADEIRA PARA INSTALAÇÕES INDUSTRIAIS E COMERCIAIS
282,16.22-6/99,FABRICAÇÃO DE OUTROS ARTIGOS DE CARPINTARIA PARA CONSTRUÇÃO
283,16.23-4/00,FABRICAÇÃO DE ARTEFATOS DE TANOARIA E DE EMBALAGENS DE MADEIRA
284,16.29-3/01,"FABRICAÇÃO DE ARTEFATOS DIVERSOS DE MADEIRA, EXCETO MÓVEIS"
285,16.29-3/02,"FABRICAÇÃO DE ARTEFATOS DIVERSOS DE CORTIÇA, BAMBU, PALHA, VIME E OUTROS MATERIAIS TRANÇADOS, EXCETO MÓVEIS"
286,17.10-9/00,FABRICAÇÃO DE CELULOSE E OUTRAS PASTAS PARA A FABRICAÇÃO DE PAPEL
287,17.21-4/00,FABRICAÇÃO DE PAPEL
288,17.22-2/00,FABRICAÇÃO DE CARTOLINA E PAPEL CARTÃO
289,17.31-1/00,FABRICAÇÃO DE EMBALAGENS DE PAPEL
290,17.32-0/00,FABRICAÇÃO DE EMBALAGENS DE CARTOLINA E PAPEL CARTÃO
291,17.33-8/00,FABRICAÇÃO DE CHAPAS E DE EMBALAGENS DE PAPELÃO ONDULADO
292,17.41-9/01,FABRICAÇÃO DE FORMULÁRIOS CONTÍNUOS
293,17.41-9/02,"FABRICAÇÃO DE PRODUTOS DE PAPEL, CARTOLINA, PAPEL CARTÃO E PAPELÃO ONDULADO PARA USO COMERCIAL E DE ESCRITÓRIO"
294,17.42-7/01,FABRICAÇÃO DE FRALDAS DESCARTÁVEIS
